day,site,clicks,impressions,ctr,position
2026-07-27,sc-domain:bestchainsaw.uk,0.0,196.0,0.0,68.98
2026-07-27,sc-domain:bestcordlessdrills.uk,0.0,252.0,0.0,38.15
2026-07-27,sc-domain:bestreviews.co.uk,1.0,7154.0,0.01,83.66
2026-07-27,sc-domain:bestturbotrainers.uk,125.0,8718.0,1.43,11.88
2026-07-27,sc-domain:bestvibrationplates.co.uk,72.0,9247.0,0.78,14.32
2026-07-27,sc-domain:bookkeepingflow.com,0.0,1156.0,0.0,68.83
2026-07-27,sc-domain:breedhealth.org,0.0,928.0,0.0,57.38
2026-07-27,sc-domain:calculator.place,5.0,22820.0,0.02,50.29
2026-07-27,sc-domain:carehome.page,1.0,302.0,0.33,66.09
2026-07-27,sc-domain:carrecallhq.com,0.0,47.0,0.0,36.94
2026-07-27,sc-domain:catchment.school,7.0,2755.0,0.25,41.87
2026-07-27,sc-domain:chargefinder.uk,1253.0,46121.0,2.72,18.99
2026-07-27,sc-domain:checkamover.com,1.0,1704.0,0.06,61.39
2026-07-27,sc-domain:citationgenerator.store,0.0,67.0,0.0,77.16
2026-07-27,sc-domain:claimwatt.com,0.0,903.0,0.0,54.66
2026-07-27,sc-domain:clinicaltrialhub.org,1.0,55.0,1.82,33.44
2026-07-27,sc-domain:collinspress.ie,62.0,2586.0,2.4,21.85
2026-07-27,sc-domain:colourlabelprinter.com,132.0,17016.0,0.78,19.31
2026-07-27,sc-domain:complain.report,3.0,294.0,1.02,37.68
2026-07-27,sc-domain:crosstrainerhome.co.uk,0.0,471.0,0.0,59.93
2026-07-27,sc-domain:dashboardcamreviews.co.uk,7.0,1311.0,0.53,27.14
2026-07-27,sc-domain:deadhangs.com,1753.0,79536.0,2.2,7.28
2026-07-27,sc-domain:drinksbykingpin.com,13.0,545.0,2.39,10.81
2026-07-27,sc-domain:drivingtestpass.org,115.0,8972.0,1.28,16.33
2026-07-27,sc-domain:drugnote.com,3.0,1843.0,0.16,66.9
2026-07-27,sc-domain:e-bikereview.uk,6.0,2503.0,0.24,63.34
2026-07-27,sc-domain:eco-drycleaners.co.uk,121.0,20735.0,0.58,20.16
2026-07-27,sc-domain:epc.report,7.0,3028.0,0.23,34.51
2026-07-27,sc-domain:fixerror.dev,0.0,166.0,0.0,19.15
2026-07-27,sc-domain:formhq.org,1.0,604.0,0.17,67.89
2026-07-27,sc-domain:gathrd.co.uk,0.0,446.0,0.0,81.48
2026-07-27,sc-domain:generator.express,0.0,2.0,0.0,44.0
2026-07-27,sc-domain:geooptimised.com,2.0,136.0,1.47,28.63
2026-07-27,sc-domain:heatpumpchecker.co.uk,34.0,11867.0,0.29,37.13
2026-07-27,sc-domain:hummingbird.agency,245.0,66206.0,0.37,23.99
2026-07-27,sc-domain:huntsmansports.com,3467.0,141253.0,2.45,8.17
2026-07-27,sc-domain:ideeeas.com,0.0,16.0,0.0,40.38
2026-07-27,sc-domain:implementai.today,0.0,251.0,0.0,52.8
2026-07-27,sc-domain:iwholesales.co.uk,1593.0,35501.0,4.49,27.18
2026-07-27,sc-domain:kingpin.design,0.0,0.0,0.0,0.0
2026-07-27,sc-domain:knotweedcheck.com,151.0,15598.0,0.97,25.34
2026-07-27,sc-domain:leadscaffold.com,6.0,1033.0,0.58,42.46
2026-07-27,sc-domain:lockyourbike.org.uk,0.0,21.0,0.0,36.81
2026-07-27,sc-domain:londonweb.design,0.0,179.0,0.0,79.53
2026-07-27,sc-domain:londonwebdesign.site,3.0,194.0,1.55,41.17
2026-07-27,sc-domain:luxurytrex.com,5.0,1843.0,0.27,21.53
2026-07-27,sc-domain:merch.observer,0.0,2.0,0.0,5.5
2026-07-27,sc-domain:mobileautomechanic.uk,2.0,248.0,0.81,28.1
2026-07-27,sc-domain:mobilebarhirelondon.uk,1.0,2432.0,0.04,49.0
2026-07-27,sc-domain:mugscafe.org,0.0,391.0,0.0,56.4
2026-07-27,sc-domain:noisecheck.uk,688.0,10807.0,6.37,10.29
2026-07-27,sc-domain:nomadranker.com,1.0,299.0,0.33,52.19
2026-07-27,sc-domain:onlybbguns.co.uk,17794.0,314685.0,5.65,9.06
2026-07-27,sc-domain:openknowledgeformat.academy,0.0,13.0,0.0,36.62
